Title	URL	Assignees	Status
Fix Home Tests	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/138	theoschiff	Done in Sprint 6
Add Example in Search bar on how to use Filter (e.g Flame Filter : "Example : <500", Pin : "Example : The Green Gauntlet")	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/121	theoschiff	Done in Sprint 6
Write tests for UserProfileEditScreen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/132	JCHAVEROT	Done in Sprint 6
User Profile : Make profile reactive		UnavailableCode	Done in Sprint 6
UserProfile : Favorites UI	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/125	loicmisenta	Done in Sprint 6
Smoothing the UI for add spot and Maps	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/136	Jeremmmyyyyy	Done in Sprint 6
Smoothing maps and record	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/pull/135	Jeremmmyyyyy	Done in Sprint 6
Bug: Clicking on phone back button when on search bar gives strange display	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/116	theoschiff	Done in Sprint 6
UserProfile: Create the search friend view	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/127	cleorenaud	Done in Sprint 6
UserProfile: add the navigation to go from userProfile to follower and following views		cleorenaud	Done in Sprint 6
Update the Architecture Diagram		cleorenaud	Done in Sprint 6
UserProfile: add a search bar to the follower and following view	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/129	cleorenaud	Done in Sprint 6
As a user I want to be able to have an account so that I can connect with my friends			Done in Sprint 6
As a user I want to be able to add photos to my paths so that I can easily visualise interesting part of it			Done in Sprint 6
As a user I want to be able to give a name and a description to my recorded route so that I can easily differentiate them			Done in Sprint 6
As a user I want to interact with a concise and straightforward design so I will come back to the app			Done in Sprint 6
As an app user I want to be able to create my own paths and be able to publish them so that others can see my path			Done in Sprint 6
As a connected user I want to be able to customize my profile so I can portray myself in the way I like			Done in Sprint 6
Change Itinerary and UserProfile data class : Pass user e-mail so that can retrieve full user profile upon Home Screen creation	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/114	theoschiff	Done in Sprint 6
Fix getUserProfile Bug	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/123	cleorenaud, theoschiff, UnavailableCode	Done in Sprint 6
Home Screen : make itinerary widgets clickable and link it with pop up	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/80	Jeremmmyyyyy, SpaceMercury, theoschiff	Done in Sprint 6
Update Figma		JCHAVEROT, loicmisenta	Done in Sprint 6
Tests for MapPopUp Class		SpaceMercury	Done in Sprint 4
Implement address translation for mapPopup	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/74	SpaceMercury	Done in Sprint 4
Bug: Can't use MockK for testing	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/84	JCHAVEROT	Done in Sprint 4
MapPopupViewModel		SpaceMercury	Done in Sprint 4
Create add spot UI on the record screen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/83	Jeremmmyyyyy	Done in Sprint 4
Record Screen : Add Description when finish (UI)		loicmisenta	Done in Sprint 4
Implement tests for the user profile	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/35	cleorenaud	Done in Sprint 4
Friends : Create the following and followers views	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/91	cleorenaud	Done in Sprint 4
Friends : create the logic to add and remove friends	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/89	cleorenaud	Done in Sprint 4
Bug: Record stopped on pause		loicmisenta	Done in Sprint 4
Implement Tests For Home Screen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/34	theoschiff	Done in Sprint 4
Bug : Internal error in Cloud Firestore	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/94	theoschiff	Done in Sprint 4
Record Screen : Add description when finish (Backend)		loicmisenta	Done in Sprint 4
Add new spot to path	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/pull/88	Jeremmmyyyyy	Done in Sprint 4
UserProfile : Favorite paths view		loicmisenta	Sprint Backlog
Implementation of the privacy settings	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/158	UnavailableCode	Sprint Backlog
Record : save records base on specific criteria in order to not pollute the DB		loicmisenta	Sprint Backlog
UserProfile : the views displaying other user's profiles should use the colors from the Theme		cleorenaud	Sprint Backlog
Implementation of the offline usability of the app		Jeremmmyyyyy	Sprint Backlog
Bug: Going back and forth from Home to Map leads to undesirable behavior			Sprint Backlog
Add Trending View to Home Screen		theoschiff	Sprint Backlog
Rework the sign in, so that we don't need to click on sign in every time		JCHAVEROT	Sprint Backlog
Add spot allows to take pictures in real time		Jeremmmyyyyy	Sprint Backlog
Friend: create view to the the user profile from other users		cleorenaud	Sprint Backlog
Bug: Can't update the profile picture in the edit screen		JCHAVEROT	Sprint Backlog
UserProfile : adding path to favorites (backend)		loicmisenta	Sprint Backlog
Implementation of the trend functionality using flames		theoschiff	Sprint Backlog
Adjust the UI dynamically based on the size of the user's phone		cleorenaud, JCHAVEROT, Jeremmmyyyyy, loicmisenta, SpaceMercury, theoschiff, UnavailableCode	Sprint Backlog
Implement Itinerary Preview Screen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/23	SpaceMercury	Sprint Backlog
